Row	NEO_N1_T_rho	NEO_N2_T_rho	NEO_N3_T_rho	NEO_N4_T_rho	NEO_N5_T_rho	NEO_N6_T_rho	NEO_E1_T_rho	NEO_E2_T_rho	NEO_E3_T_rho	NEO_E4_T_rho	NEO_E5_T_rho	NEO_E6_T_rho	NEO_O1_T_rho	NEO_O2_T_rho	NEO_O3_T_rho	NEO_O4_T_rho	NEO_O5_T_rho	NEO_O6_T_rho	NEO_A1_T_rho	NEO_A2_T_rho	NEO_A3_T_rho	NEO_A4_T_rho	NEO_A5_T_rho	NEO_A6_T_rho	NEO_C1_T_rho	NEO_C2_T_rho	NEO_C3_T_rho	NEO_C4_T_rho	NEO_C5_T_rho	NEO_C6_T_rho	NEO_N1_T_p	NEO_N2_T_p	NEO_N3_T_p	NEO_N4_T_p	NEO_N5_T_p	NEO_N6_T_p	NEO_E1_T_p	NEO_E2_T_p	NEO_E3_T_p	NEO_E4_T_p	NEO_E5_T_p	NEO_E6_T_p	NEO_O1_T_p	NEO_O2_T_p	NEO_O3_T_p	NEO_O4_T_p	NEO_O5_T_p	NEO_O6_T_p	NEO_A1_T_p	NEO_A2_T_p	NEO_A3_T_p	NEO_A4_T_p	NEO_A5_T_p	NEO_A6_T_p	NEO_C1_T_p	NEO_C2_T_p	NEO_C3_T_p	NEO_C4_T_p	NEO_C5_T_p	NEO_C6_T_p
NEO_E5_T	-0.0915240410872503	0.0956279467367017	-0.0389090879703997	-0.081671253651925	0.191643923061255	-0.106853120417315	0.118602644202652	0.411480222600801	0.299293429316922	0.295995880816197	0.577	0.342485124223086	0.160780662660571	0.130936426835327	0.118014311516496	0.325872955229496	0.0982181195391166	0.0155722966906933	0.00418282458530191	-0.3607604516901	-0.051805642529988	-0.166073889621286	-0.32721283999297	-0.0574034152360279	0.0678583934649015	0.00859433574443049	-0.0943042572094979	0.229503315562007	0.0421095726135346	-0.220322500406915	0.0478354028090545	0.0386439990570528	0.401020909352031	0.077556363090635	2.99887832962569e-05	0.0207761701886297	0.0102294338844473	1.5041135599768e-20	3.85626903491352e-11	6.4374578972679e-11	-1	2.51801673361518e-14	0.000480032829506553	0.00455057882166191	0.0106142921787983	4.86127983848721e-13	0.0336501571837571	0.736871043756906	0.928091143158852	7.85339809329273e-16	0.263361405114167	0.00030832108317762	3.85405277583081e-13	0.21515036308043	0.142712133879329	0.852891677166567	0.0414296999326517	5.19999855965932e-07	0.36338369063184	1.48812342614164e-06
NEO_E6_T	-0.230444038901544	-0.167600258422062	-0.365830115963432	-0.309020604371132	0.193662019790867	-0.384304577276319	0.569111837444774	0.432130594892068	0.420429895793778	0.452178138648968	0.342485124223086	0.796	0.320815186653008	0.332163631242729	0.509079090750834	0.318662845772342	0.281956331410191	0.202270477757281	0.301892284046656	-0.106029698394339	0.269831122183774	-0.088739466132357	-0.26527298358508	0.147178754047502	0.328890244265892	0.165059160871079	0.159993264111326	0.359797941523398	0.229198431184982	-0.211092155872289	4.6571500608589e-07	0.000270692166335859	2.88242558785529e-16	8.1853841213007e-12	2.46099644603953e-05	6.41024266637472e-18	1.60214577504483e-41	1.0275240973507e-22	1.80762091932795e-21	5.78458046694609e-25	2.51801673361518e-14	-1	1.15587269445472e-12	1.61813844894067e-13	3.18932040409851e-32	1.66286822800602e-12	5.3063128702564e-10	1.03494581185647e-05	2.56312241361618e-11	0.0217842268525724	2.9905974545992e-09	0.0550627904649158	5.6054410367241e-09	0.00140874728248594	2.87728313278625e-13	0.000335979977892207	0.000512123719915533	9.48048685045524e-16	5.38862643351473e-07	4.09665777439419e-06
NEO_O1_T	0.0944254528028363	0.0604826024187353	0.032487241104153	-0.0607907021599622	0.204729876238351	-0.045259172664645	0.152985706531508	0.127605078755265	0.0990174822265133	0.145292896137454	0.160780662660571	0.320815186653008	0.682	0.342056436272019	0.346514257949948	0.185096780403479	0.320544301317445	0.182641633478697	0.0981906882186858	-0.166863924626213	0.0458975987388062	-0.0571719167103423	-0.23389945417346	0.109956799412129	-0.0168889172368053	-0.105086384077333	-0.114745377398597	0.0744844321955689	-0.113573812172772	-0.314459176014798	0.0411677843863555	0.191506421080391	0.483233060722084	0.189249855305881	8.02500851234817e-06	0.328575114863873	0.000899202232156494	0.00570193666693133	0.0322246667548719	0.00162434715916064	0.000480032829506553	1.15587269445472e-12	-1	2.72407679472619e-14	1.19510759034885e-14	5.61556027010525e-05	1.210203245008e-12	7.06600411451851e-05	0.0337000142004395	0.000288274268281239	0.3217911637712	0.217009172564887	3.0937251081752e-07	0.0173320312283846	0.715550323354747	0.022990954774048	0.0129954890463305	0.107556969093897	0.0139570937575079	3.35511525467688e-12
NEO_O2_T	0.00486043360950182	-0.0960570004708452	-0.0520844071624868	-0.13196915018283	0.107579411340801	-0.108343788339415	0.291787650687513	0.192813445848695	0.134149538227185	0.223541345205953	0.130936426835327	0.332163631242729	0.342056436272019	0.756	0.514620464497609	0.278704073817723	0.455596942363577	0.268639764111212	0.238729265046267	-0.00910648355982972	0.23426868762751	0.0586257814817157	-0.0699092957028716	0.212075424152242	0.171132727707621	0.0318900473866216	0.110070187566471	0.188618016127582	0.0521696682438906	-0.102830329912175	0.916481592936248	0.0377758097608309	0.260797505087926	0.00423892089710311	0.0199209168725068	0.0190540632446467	1.22635796574286e-10	2.67495466940807e-05	0.00364342101146912	1.03451089877618e-06	0.00455057882166191	1.61813844894067e-13	2.72407679472619e-14	-1	5.2633072396865e-33	8.50816281804579e-10	2.30958316766402e-25	3.52831711891248e-09	1.72796278904197e-07	0.844234013613544	2.96030258705874e-07	0.205524901510277	0.130999281528981	3.68547460499544e-06	0.000199426192575079	0.491315920926987	0.0172162660192959	4.01810791190339e-05	0.26001677602055	0.0261140824184901
NEO_O3_T	-0.0578180090841877	-0.169354255524121	-0.250560792536805	-0.207424998807295	0.164479877275697	-0.256044777649682	0.476572131949995	0.289971636164035	0.280501103448998	0.315419105829516	0.118014311516496	0.509079090750834	0.346514257949948	0.514620464497609	0.702	0.31463289700326	0.381036435100772	0.335431992510597	0.276048805581455	0.0464139736437868	0.310840663689408	0.0311545248056551	-0.123510502922115	0.264952406888889	0.34302274987153	0.0936107579475497	0.205566116542754	0.303052533485496	0.238783562611982	-0.110419614110685	0.211850029461111	0.000232764081300058	3.93286969000397e-08	6.05125333998717e-06	0.000352790250617849	1.9295078697466e-08	6.55034784748335e-28	1.61433281478207e-10	6.55948307836043e-10	2.86098307561208e-12	0.0106142921787983	3.18932040409851e-32	1.19510759034885e-14	5.2633072396865e-33	-1	3.25989799852256e-12	1.2794018474602e-17	9.04555685019911e-14	1.24528003083128e-09	0.31637128873175	6.08553953407258e-12	0.501369642084775	0.00747192705334432	5.85608307333662e-09	2.28109025701397e-14	0.0429556178595828	7.35491766995655e-06	2.13303196596882e-11	1.71656292612759e-07	0.0168637555019837
NEO_O4_T	-0.231847315768313	-0.137122544130766	-0.245391847329532	-0.295564287536198	0.0833638585166825	-0.314006300755583	0.22599945057137	0.337286846520021	0.346319981293426	0.267916654144793	0.325872955229496	0.318662845772342	0.185096780403479	0.278704073817723	0.31463289700326	0.601	0.346116078056226	0.36221815468315	0.0808138438200722	-0.08201329344233	0.0653750279814127	-0.118612563151168	-0.222736849969433	0.0384444733247527	0.173773841641056	0.0281608163691695	-0.0408295879858102	0.231981767147837	0.126804600042397	-0.217199679707902	3.94741792807162e-07	0.00295352426798282	7.5791893972123e-08	6.88069587599533e-11	0.0715846753765573	3.61630030377743e-12	7.80830787678799e-07	6.48262721257701e-14	1.23913984848481e-14	3.89926220757876e-09	4.86127983848721e-13	1.66286822800602e-12	5.61556027010525e-05	8.50816281804579e-10	3.25989799852256e-12	-1	1.28706507054718e-14	5.89774360098044e-16	0.0807322847934507	0.0763180608643289	0.157947948091002	0.0102230529374282	1.13350072819837e-06	0.406672345337315	0.000158072651332732	0.543384496676715	0.378163864269757	3.88516234829578e-07	0.00601498133760328	2.10660004507586e-06
NEO_O5_T	-0.21226601476518	-0.18861377305266	-0.199262029344128	-0.27789441056156	-0.0386685063125513	-0.332483107988682	0.240924873947915	0.13113835499955	0.256280384126613	0.22229162195646	0.0982181195391166	0.281956331410191	0.320544301317445	0.455596942363577	0.381036435100772	0.346116078056226	0.74	0.327769425468208	0.134818983930545	-0.0528115395126348	0.134528076086299	-0.00528442894456151	-0.241852731284707	0.0513224637256	0.301053843326889	0.0824794001467855	0.130827967647153	0.236151083033668	0.193406300218359	-0.0190365698710656	3.6104750647219e-06	4.01974383747613e-05	1.40681412766044e-05	9.56021820262824e-10	0.403941382533729	1.52918063301958e-13	1.32050977161217e-07	0.00448806048218609	1.87067205479013e-08	1.19212546899923e-06	0.0336501571837571	5.3063128702564e-10	1.210203245008e-12	2.30958316766402e-25	1.2794018474602e-17	1.28706507054718e-14	-1	3.49852948966953e-13	0.00347643373489148	0.254190976087308	0.00354812604941842	0.90922609593053	1.17772767085284e-07	0.267846333155961	2.92546639078111e-11	0.0746565184976964	0.00458448213693255	2.36176312188963e-07	2.52370202821768e-05	0.681248610239209
NEO_O6_T	-0.205633564498984	-0.287739959838718	-0.275971440310401	-0.265600937122758	-0.0302394803539832	-0.227763068670089	0.197804707362048	0.157238726112838	0.0947335423417682	0.128764933681931	0.0155722966906933	0.202270477757281	0.182641633478697	0.268639764111212	0.335431992510597	0.36221815468315	0.327769425468208	0.458	0.252620939578441	0.0907172525832499	0.207773152392514	0.0496972727089477	-0.0154692152129966	0.0911764324629077	0.238005653414282	0.0961531951317956	0.095460843403437	0.0195083225878106	0.119785623558972	-0.0281789626828233	7.30326049538254e-06	2.25700168833879e-10	1.25910112620084e-09	5.35980634152899e-09	0.514027208316837	6.36860375664375e-07	1.62967935042762e-05	0.000640740387448644	0.040508260489096	0.00527431334794727	0.736871043756906	1.03494581185647e-05	7.06600411451851e-05	3.52831711891248e-09	9.04555685019911e-14	5.89774360098044e-16	3.49852948966953e-13	-1	3.01562143772793e-08	0.0498426747956997	5.83297587403169e-06	0.283314034601192	0.738549098336972	0.0486917852436742	1.88702823475528e-07	0.0375834463387567	0.03898667577883	0.673798163696757	0.00949287190572449	0.543124658918369
NEO_A1_T	-0.273854074229684	-0.469565318434249	-0.305014394591714	-0.229350295930825	-0.0527765402963455	-0.24789274515801	0.40205628360815	0.242498181803921	0.054694743238986	0.0610397310635116	0.00418282458530191	0.301892284046656	0.0981906882186858	0.238729265046267	0.276048805581455	0.0808138438200722	0.134818983930545	0.252620939578441	0.682	0.257594855238922	0.395860503929606	0.329935267085454	0.141098977864277	0.246456110645299	0.229780999249663	0.121498482575592	0.192107844360117	0.0754230044868699	0.17636339540986	-0.02707278128608	1.70087669196165e-09	4.86233281935241e-27	1.56064109498786e-11	5.29386227856418e-07	0.254506285670796	5.52798445555721e-08	1.30840236246998e-19	1.08731279944014e-07	0.23762333349925	0.187440257863386	0.928091143158852	2.56312241361618e-11	0.0337000142004395	1.72796278904197e-07	1.24528003083128e-09	0.0807322847934507	0.00347643373489148	3.01562143772793e-08	-1	1.57296409336367e-08	5.22731032232196e-19	2.39610725985603e-13	0.00221636399310779	6.62948463166553e-08	5.03373469730563e-07	0.0085099197843064	2.86617350036172e-05	0.103184480859414	0.000125449999596785	0.559075892434179
NEO_A2_T	-0.121210322323628	-0.27937709966109	-0.131604094919318	-0.0344344735858981	-0.24713811524449	-0.0173013048144993	0.0925582432662623	-0.0620825223303856	-0.227812618521388	-0.123152784615452	-0.3607604516901	-0.106029698394339	-0.166863924626213	-0.00910648355982972	0.0464139736437868	-0.08201329344233	-0.0528115395126348	0.0907172525832499	0.257594855238922	0.539	0.302834960348916	0.325023386516956	0.42006582944431	0.216439435728834	0.0334036850744674	0.1283377124394	0.338587005166246	-0.102881874326295	0.122481608090374	0.232651287209229	0.00866865613532368	7.72009867888902e-10	0.0043468120063092	0.457384904327842	6.08245730196077e-08	0.708916639747941	0.0453617901072837	0.180000899800008	6.33209017946904e-07	0.00764775948866643	7.85339809329273e-16	0.0217842268525724	0.000288274268281239	0.844234013613544	0.31637128873175	0.0763180608643289	0.254190976087308	0.0498426747956997	1.57296409336367e-08	-1	2.20792057631588e-11	5.62895223277259e-13	1.97278735304819e-21	2.29083985372462e-06	0.470970483017942	0.00542834478373707	5.12570250655088e-14	0.0260388397852403	0.00798767132879568	3.58895205560924e-07
